lon,lat,gid,y,x,comID
-97.1415128281277,40.1249917645894,1,46,0,100000046
-97.0469549444806,40.1249917645894,2,46,1,100010046
-96.9523970608335,40.1249917645894,3,46,2,100020046
-96.8578391771865,40.1249917645894,4,46,3,100030046
-96.7632812935394,40.1249917645894,5,46,4,100040046
-96.6687234098924,40.1249917645894,6,46,5,100050046
-96.5741655262454,40.1249917645894,7,46,6,100060046
-96.4796076425983,40.1249917645894,8,46,7,100070046
-96.3850497589512,40.1249917645894,9,46,8,100080046
-96.2904918753042,40.1249917645894,10,46,9,100090046
-96.1959339916572,40.1249917645894,11,46,10,100100046
-96.1013761080101,40.1249917645894,12,46,11,100110046
-96.006818224363,40.1249917645894,13,46,12,100120046
-95.912260340716,40.1249917645894,14,46,13,100130046
-95.817702457069,40.1249917645894,15,46,14,100140046
-95.7231445734219,40.1249917645894,16,46,15,100150046
-95.6285866897748,40.1249917645894,17,46,16,100160046
-95.5340288061278,40.1249917645894,18,46,17,100170046
-95.4394709224808,40.1249917645894,19,46,18,100180046
-95.3449130388337,40.1249917645894,20,46,19,100190046
-95.2503551551866,40.1249917645894,21,46,20,100200046
-95.1557972715396,40.1249917645894,22,46,21,100210046
-95.0612393878925,40.1249917645894,23,46,22,100220046
-94.9666815042455,40.1249917645894,24,46,23,100230046
-94.8721236205984,40.1249917645894,25,46,24,100240046
-94.7775657369514,40.1249917645894,26,46,25,100250046
-94.6830078533043,40.1249917645894,27,46,26,100260046
-94.5884499696573,40.1249917645894,28,46,27,100270046
-94.4938920860102,40.1249917645894,29,46,28,100280046
-94.3993342023632,40.1249917645894,30,46,29,100290046
-94.3047763187161,40.1249917645894,31,46,30,100300046
-94.2102184350691,40.1249917645894,32,46,31,100310046
-94.115660551422,40.1249917645894,33,46,32,100320046
-94.021102667775,40.1249917645894,34,46,33,100330046
-93.9265447841279,40.1249917645894,35,46,34,100340046
-93.8319869004809,40.1249917645894,36,46,35,100350046
-93.7374290168338,40.1249917645894,37,46,36,100360046
-93.6428711331868,40.1249917645894,38,46,37,100370046
-93.5483132495397,40.1249917645894,39,46,38,100380046
-93.4537553658927,40.1249917645894,40,46,39,100390046
-93.3591974822456,40.1249917645894,41,46,40,100400046
-93.2646395985986,40.1249917645894,42,46,41,100410046
-93.1700817149515,40.1249917645894,43,46,42,100420046
-93.0755238313045,40.1249917645894,44,46,43,100430046
-92.9809659476574,40.1249917645894,45,46,44,100440046
-92.8864080640104,40.1249917645894,46,46,45,100450046
-92.7918501803633,40.1249917645894,47,46,46,100460046
-92.6972922967162,40.1249917645894,48,46,47,100470046
-92.6027344130692,40.1249917645894,49,46,48,100480046
-92.5081765294222,40.1249917645894,50,46,49,100490046
-92.4136186457751,40.1249917645894,51,46,50,100500046
-92.319060762128,40.1249917645894,52,46,51,100510046
-92.224502878481,40.1249917645894,53,46,52,100520046
-92.129944994834,40.1249917645894,54,46,53,100530046
-92.0353871111869,40.1249917645894,55,46,54,100540046
-91.9408292275398,40.1249917645894,56,46,55,100550046
-91.8462713438928,40.1249917645894,57,46,56,100560046
-91.7517134602458,40.1249917645894,58,46,57,100570046
-91.6571555765987,40.1249917645894,59,46,58,100580046
-91.5625976929516,40.1249917645894,60,46,59,100590046
-91.4680398093046,40.1249917645894,61,46,60,100600046
-91.3734819256576,40.1249917645894,62,46,61,100610046
-91.2789240420105,40.1249917645894,63,46,62,100620046
-91.1843661583634,40.1249917645894,64,46,63,100630046
-91.0898082747164,40.1249917645894,65,46,64,100640046
-90.9952503910694,40.1249917645894,66,46,65,100650046
-90.9006925074223,40.1249917645894,67,46,66,100660046
-90.8061346237753,40.1249917645894,68,46,67,100670046
-90.7115767401282,40.1249917645894,69,46,68,100680046
-90.6170188564811,40.1249917645894,70,46,69,100690046
-90.5224609728341,40.1249917645894,71,46,70,100700046
-90.427903089187,40.1249917645894,72,46,71,100710046
-90.33334520554,40.1249917645894,73,46,72,100720046
-90.2387873218929,40.1249917645894,74,46,73,100730046
-90.1442294382459,40.1249917645894,75,46,74,100740046
-90.0496715545988,40.1249917645894,76,46,75,100750046
-89.9551136709518,40.1249917645894,77,46,76,100760046
-89.8605557873047,40.1249917645894,78,46,77,100770046
-97.1415128281277,40.2180642389186,79,45,0,100000045
-97.0469549444806,40.2180642389186,80,45,1,100010045
-96.9523970608336,40.2180642389186,81,45,2,100020045
-96.8578391771865,40.2180642389186,82,45,3,100030045
-96.7632812935394,40.2180642389186,83,45,4,100040045
-96.6687234098924,40.2180642389186,84,45,5,100050045
-96.5741655262454,40.2180642389186,85,45,6,100060045
-96.4796076425983,40.2180642389186,86,45,7,100070045
-96.3850497589513,40.2180642389186,87,45,8,100080045
-96.2904918753042,40.2180642389186,88,45,9,100090045
-96.1959339916572,40.2180642389186,89,45,10,100100045
-96.1013761080101,40.2180642389186,90,45,11,100110045
-96.0068182243631,40.2180642389186,91,45,12,100120045
-95.912260340716,40.2180642389186,92,45,13,100130045
-95.8177024570689,40.2180642389186,93,45,14,100140045
-95.7231445734219,40.2180642389186,94,45,15,100150045
-95.6285866897748,40.2180642389186,95,45,16,100160045
-95.5340288061278,40.2180642389186,96,45,17,100170045
-95.4394709224808,40.2180642389186,97,45,18,100180045
-95.3449130388337,40.2180642389186,98,45,19,100190045
-95.2503551551866,40.2180642389186,99,45,20,100200045
-95.1557972715396,40.2180642389186,100,45,21,100210045
-95.0612393878925,40.2180642389186,101,45,22,100220045
-94.9666815042455,40.2180642389186,102,45,23,100230045
-94.8721236205984,40.2180642389186,103,45,24,100240045
