,id,year,prod,agreementindex,bias,correlationcoefficient,covariance,decomposed_mse,kge,log_p,mae,mse,nashsutcliffe,pbias,rmse,rrmse,rsquared,rsr,volume_error,lid,USGS_id,USGS_name,Area,Slope,t_trav,lat,lon,ifis_id,num_up_gag,nRMSE,nMAE,timing,norm_bias,ppd,peak_qsim,qsim_vol,qobs_vol,pt_change_vol
53,2778,2016,Q_ol,0.8762,13.1226,0.8723,3656.7667,2100.6885,0.5551,-32.0176,20.2762,2100.6885,0.6800,-22.5800,45.8333,0.7887,0.7609,0.5657,-0.2258,434478,5412020,Turkey River above French Hollow Cr at Elkader (EKDI4-05412020),2359.4809,0.1161,70.1400,42.8435,-91.4013,588,4,0.0194,0.0086,2.0000,-0.1620,-0.2113,580.6922,1041861842.6262,1354163778.2362,-23.0623
54,2779,2017,Q_ol,0.7551,-3.3094,0.6163,504.4962,660.9057,0.5774,-27.5203,15.7275,660.9057,0.3139,9.3895,25.7081,0.7294,0.3798,0.8283,0.0939,434478,5412020,Turkey River above French Hollow Cr at Elkader (EKDI4-05412020),2359.4809,0.1161,70.1400,42.8435,-91.4013,588,4,0.0109,0.0067,8.0000,0.1066,-0.2863,199.6645,889491711.9541,814477319.0323,9.2101
55,2780,2018,Q_ol,0.8662,17.9166,0.7950,2708.5249,1737.0049,0.6451,-22.2127,26.2800,1737.0049,0.5269,-28.0541,41.6774,0.6526,0.6320,0.6878,-0.2805,434478,5412020,Turkey River above French Hollow Cr at Elkader (EKDI4-05412020),2359.4809,0.1161,70.1400,42.8435,-91.4013,588,4,0.0177,0.0111,5.0000,-0.2957,-0.1585,328.8158,1101016474.8013,1527519680.9050,-27.9213
56,434,2015,Q_assim,0.7420,-9.3474,0.6117,229.2541,378.4738,0.4698,-29.1227,15.7868,378.4738,-0.0165,36.0861,19.4544,0.7510,0.3741,1.0082,0.3609,434514,5412500,Turkey River at Garber (GRBI4-05412500),4032.6144,0.1387,80.2700,42.7400,-91.2618,589,6,0.0048,0.0039,2.0000,0.4844,0.6314,222.6667,709514760.0000,524219845.6973,35.3468
57,435,2016,Q_assim,0.8790,14.7787,0.8465,6034.0440,3379.1812,0.6161,-23.6216,28.3921,3379.1812,0.6716,-17.1311,58.1307,0.6738,0.7165,0.5730,-0.1713,434514,5412500,Turkey River at Garber (GRBI4-05412500),4032.6144,0.1387,80.2700,42.7400,-91.2618,589,6,0.0144,0.0070,3.0000,-0.1457,-0.1937,680.4133,1402619136.0000,1691550272.3443,-17.0808
58,436,2017,Q_assim,0.8583,-14.3965,0.7669,3478.5132,2325.4813,0.6810,-27.0134,29.3988,2325.4813,0.4716,21.5670,48.2232,0.7224,0.5882,0.7269,0.2157,434514,5412500,Turkey River at Garber (GRBI4-05412500),4032.6144,0.1387,80.2700,42.7400,-91.2618,589,6,0.0120,0.0073,3.0000,0.2170,-0.0425,639.8700,1608320670.0000,1324718627.3798,21.4085
59,437,2018,Q_assim,0.9352,9.4798,0.8832,9832.9301,2750.1346,0.8377,-12.6522,32.5741,2750.1346,0.7705,-8.7569,52.4417,0.4844,0.7801,0.4790,-0.0876,434514,5412500,Turkey River at Garber (GRBI4-05412500),4032.6144,0.1387,80.2700,42.7400,-91.2618,589,6,0.0130,0.0081,2.0000,-0.0866,-0.1727,684.0600,1970132064.0000,2152264817.8886,-8.4624
60,3050,2010,Q_ol,0.9464,-6.5556,0.9346,2921.7102,665.1293,0.7362,-10.8072,18.9861,665.1293,0.8360,11.3040,25.7901,0.4447,0.8734,0.4050,0.1130,434514,5412500,Turkey River at Garber (GRBI4-05412500),4032.6144,0.1387,80.2700,42.7400,-91.2618,589,6,0.0064,0.0047,-2.0000,0.1029,-0.2168,550.0330,1360829762.0730,1222689688.5283,11.2980
61,3051,2011,Q_ol,0.6908,-6.6320,0.5402,591.8703,1080.8989,0.4729,-43.5172,17.5091,1080.8989,-0.1624,18.6194,32.8770,0.9230,0.2919,1.0781,0.1862,434514,5412500,Turkey River at Garber (GRBI4-05412500),4032.6144,0.1387,80.2700,42.7400,-91.2618,589,6,0.0082,0.0043,-4.0000,0.2175,0.6395,496.7642,890709220.1970,750874449.0974,18.6229
62,3052,2012,Q_ol,0.8487,5.2350,0.8786,205.3124,147.3079,0.5015,-20.2925,7.3737,147.3079,0.6231,-26.8486,12.1370,0.6225,0.7719,0.6140,-0.2685,434514,5412500,Turkey River at Garber (GRBI4-05412500),4032.6144,0.1387,80.2700,42.7400,-91.2618,589,6,0.0030,0.0018,7.0000,-0.2648,-0.7049,34.1807,301784602.8927,410239927.4155,-26.4370
63,3053,2013,Q_ol,0.7969,22.9961,0.8314,3313.4490,3552.7860,0.3938,-40.0106,30.1685,3552.7860,0.5292,-34.1136,59.6053,0.8842,0.6913,0.6861,-0.3411,434514,5412500,Turkey River at Garber (GRBI4-05412500),4032.6144,0.1387,80.2700,42.7400,-91.2618,589,6,0.0148,0.0075,2.0000,-0.2647,-0.8313,173.9205,926035348.9050,1405748655.6178,-34.1251
64,3054,2014,Q_ol,0.9119,16.3363,0.9221,3836.7322,1508.8558,0.5622,-25.6823,21.2132,1508.8558,0.7509,-29.5971,38.8440,0.7038,0.8502,0.4991,-0.2960,434514,5412500,Turkey River at Garber (GRBI4-05412500),4032.6144,0.1387,80.2700,42.7400,-91.2618,589,6,0.0096,0.0053,7.0000,-0.2099,-0.2636,558.8429,769150686.8992,1099390702.8715,-30.0385
65,3055,2015,Q_ol,0.8452,8.0904,0.7850,904.1405,680.3065,0.5728,-32.6005,12.8778,680.3065,0.5714,-24.6908,26.0827,0.7960,0.6162,0.6546,-0.2469,434514,5412500,Turkey River at Garber (GRBI4-05412500),4032.6144,0.1387,80.2700,42.7400,-91.2618,589,6,0.0065,0.0032,5.0000,-0.2031,-0.2975,320.2851,586976682.9520,787510901.9174,-25.4643
66,3056,2016,Q_ol,0.8946,10.6847,0.8601,5757.2768,2743.6289,0.6567,-21.7760,25.4459,2743.6289,0.7067,-13.1746,52.3797,0.6459,0.7398,0.5416,-0.1317,434514,5412500,Turkey River at Garber (GRBI4-05412500),4032.6144,0.1387,80.2700,42.7400,-91.2618,589,6,0.0130,0.0063,3.0000,-0.1105,-0.1844,688.2083,1556870324.7162,1788915153.8995,-12.9713
67,3057,2017,Q_ol,0.8912,-7.6914,0.8096,3141.8429,1542.1723,0.7684,-22.0101,23.9868,1542.1723,0.6163,12.7204,39.2705,0.6495,0.6554,0.6194,0.1272,434514,5412500,Turkey River at Garber (GRBI4-05412500),4032.6144,0.1387,80.2700,42.7400,-91.2618,589,6,0.0097,0.0059,2.0000,0.1213,-0.0647,625.0224,1573785933.5152,1398167405.8330,12.5606
68,3058,2018,Q_ol,0.9092,16.5287,0.8460,8327.4130,3377.7696,0.7558,-18.9699,35.3022,3377.7696,0.6850,-17.0879,58.1186,0.6008,0.7156,0.5613,-0.1709,434514,5412500,Turkey River at Garber (GRBI4-05412500),4032.6144,0.1387,80.2700,42.7400,-91.2618,589,6,0.0144,0.0088,2.0000,-0.1596,-0.2643,608.3327,1934134469.0380,2310841797.5290,-16.3017
