,id,year,prod,agreementindex,bias,correlationcoefficient,covariance,decomposed_mse,kge,log_p,mae,mse,nashsutcliffe,pbias,rmse,rrmse,rsquared,rsr,volume_error,lid,USGS_id,USGS_name,Area,Slope,t_trav,lat,lon,ifis_id,num_up_gag,nRMSE,nMAE,timing,norm_bias,ppd,peak_qsim,qsim_vol,qobs_vol,pt_change_vol
13,1409,2015,Q_ol,0.8134,1.8593,0.7944,101.8669,94.7473,0.4862,-65.0720,3.9531,94.7473,0.5701,-21.6364,9.7338,1.1327,0.6310,0.6556,-0.2164,399711,5412400,Volga River at Littleport (05412400),909.0865,0.1481,38.3100,42.7539,-91.3690,525,1,0.0107,0.0043,4.0000,-0.1252,-0.4411,112.0572,159629025.6542,203746337.4021,-21.6531
14,1410,2016,Q_ol,0.9329,-1.2276,0.8769,221.2611,64.0955,0.8318,-24.7860,4.3457,64.0955,0.7348,10.5939,8.0060,0.6909,0.7690,0.5150,0.1059,399711,5412400,Volga River at Littleport (05412400),909.0865,0.1481,38.3100,42.7539,-91.3690,525,1,0.0088,0.0048,2.0000,0.0790,0.0503,261.4338,285796182.0122,258492310.0646,10.5627
15,1411,2017,Q_ol,0.9446,-1.4409,0.8959,895.2456,210.8155,0.8562,-47.2131,6.7807,210.8155,0.7947,9.5490,14.5195,0.9622,0.8027,0.4531,0.0955,399711,5412400,Volga River at Littleport (05412400),909.0865,0.1481,38.3100,42.7539,-91.3690,525,1,0.0160,0.0075,2.0000,0.0450,-0.2029,440.1516,382185550.9386,349262784.2972,9.4264
16,1412,2018,Q_ol,0.9006,1.7902,0.8236,720.9088,320.6012,0.7785,-36.6471,8.3754,320.6012,0.5957,-8.4514,17.9053,0.8453,0.6783,0.6359,-0.0845,399711,5412400,Volga River at Littleport (05412400),909.0865,0.1481,38.3100,42.7539,-91.3690,525,1,0.0197,0.0092,2.0000,-0.0636,-0.4356,167.8193,459275108.9095,501647216.1811,-8.4466
17,247,2015,Q_assim,0.8006,0.0000,0.7236,33.2179,33.8624,0.4004,-119.0128,2.4672,33.8624,-0.1301,-0.0008,5.8191,1.5368,0.5236,1.0631,-0.0000,483619,5411600,Turkey River at Spillville (05411600),458.4282,0.0667,22.5000,43.2073,-91.9503,523,1,0.0127,0.0054,-2.0000,-0.0000,1.2598,165.0933,73579896.0000,74493362.5517,-1.2262
18,248,2016,Q_assim,0.8900,5.1699,0.9028,388.5261,196.2033,0.4688,-54.0400,6.4095,196.2033,0.7072,-38.0432,14.0073,1.0307,0.8150,0.5411,-0.3804,483619,5411600,Turkey River at Spillville (05411600),458.4282,0.0667,22.5000,43.2073,-91.9503,523,1,0.0306,0.0140,0.0000,-0.1997,-0.4488,237.2367,167521368.0000,270038802.4128,-37.9640
19,249,2017,Q_assim,0.7114,-1.8108,0.5771,23.6696,39.6626,0.4397,-52.0079,3.6857,39.6626,-0.1846,29.0646,6.2978,1.0108,0.3331,1.0884,0.2906,483619,5411600,Turkey River at Spillville (05411600),458.4282,0.0667,22.5000,43.2073,-91.9503,523,1,0.0137,0.0080,0.0000,0.3129,0.1780,65.7133,159714564.0000,123812227.9400,28.9974
20,250,2018,Q_assim,0.9273,3.2919,0.8784,250.4329,80.2563,0.7314,-22.0518,5.8106,80.2563,0.7235,-23.8894,8.9586,0.6501,0.7716,0.5259,-0.2389,483619,5411600,Turkey River at Spillville (05411600),458.4282,0.0667,22.5000,43.2073,-91.9503,523,1,0.0195,0.0127,0.0000,-0.1932,0.0667,211.4300,207508362.0000,272783927.0166,-23.9294
21,1725,2010,Q_ol,0.6493,-2.5351,0.5391,8.5050,20.9839,0.2704,-52.9884,3.2593,20.9839,-0.3693,56.4763,4.5808,1.0205,0.2906,1.1702,0.5648,483619,5411600,Turkey River at Spillville (05411600),458.4282,0.0667,22.5000,43.2073,-91.9503,523,1,0.0100,0.0071,-11.0000,0.6476,-0.3784,25.5218,137291509.4643,93682404.0438,46.5499
22,1726,2011,Q_ol,0.7721,0.5405,0.7586,8.5724,10.2894,0.4591,-34.2192,1.8126,10.2894,0.5120,-13.7519,3.2077,0.8161,0.5755,0.6985,-0.1375,483619,5411600,Turkey River at Spillville (05411600),458.4282,0.0667,22.5000,43.2073,-91.9503,523,1,0.0070,0.0040,-11.0000,-0.1177,-0.2364,36.9753,71233796.6222,83562809.5476,-14.7542
